spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-2000F_EU__v1.0__Product_overview__s03__r01__dc12_port__front.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.spec,DC 12V Port,,1,,,12 V⎓10 A max.,,,,12 V⎓10 A max.,,,12 V⎓10 A máx.,,,12V⎓10A máx.,,,12 V⎓10 A max.,,,12 V⎓10 A max.,,,12 В⎓10 А макс.,,,
JE-2000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.label,USB-C 100W Output,,1,,,USB-C 100 W Output,,,,Sortie USB-C 100 W,,,Salida USB-C de 100 W,,,Saída USB-C 100 W,,,USB-C 100 W-Ausgang,,,Uscita USB-C da 100 W,,,Вихід USB-C 100 Вт,,,
JE-2000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.spec,USB-C 100W Output,,1,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100W máx., 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A",,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 Вт макс., 5 В⎓3 А, 9 В⎓3 А, 12 В⎓3 А, 15 В⎓3 А, 20 В⎓5 А",,,
JE-2000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.label,USB-C 30W Output,,1,,,USB-C 30 W Output,,,,Sortie USB-C 30 W,,,Salida USB-C de 30 W,,,Saída USB-C 30 W,,,USB-C 30 W-Ausgang,,,Uscita USB-C 30 W,,,Вихід USB-C 30 Вт,,,
JE-2000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.spec,USB-C 30W Output,,1,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2.5 A, 15 V⎓2 A, 20 V⎓1.5 A",,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30W máx., 5V⎓3A, 9V⎓3A, 12V⎓2,5A, 15V⎓2A, 20V⎓1,5A",,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 Вт макс., 5 В⎓3 А, 9 В⎓3 А, 12 В⎓2,5 А, 15 В⎓2 А, 20 В⎓1,5 А",,,
JE-2000F_EU__v1.0__Product_overview__s03__r03__usb_a__front.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18 W Output,,,,Sortie USB-A 18 W,,,Salida USB-A 18 W,,,Saída USB-A 18 W,,,USB-A 18 W-Ausgang,,,Uscita USB-A 18 W,,,Вихід USB-A 18 Вт,,,
JE-2000F_EU__v1.0__Product_overview__s03__r03__usb_a__front.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.spec,USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W máx., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18W máx., 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1,5A",,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 Вт макс., 5-6 В⎓3 А, 6-9 В⎓2 А, 9-12 В⎓1,5 А",,,
JE-2000F_EU__v1.0__Product_overview__s03__r04__ac_output__front.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.label,AC Output,,1,,,AC Output,,,,Sortie CA,,,Salida de CA,,,Saída CA,,,AC-Ausgang,,,Uscita CA,,,Вихід змінного струму,,,
JE-2000F_EU__v1.0__Product_overview__s03__r04__ac_output__front.spec__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.spec,AC Output,,1,,,"230 V~ 50 Hz, 10 A max., 2200 W rated in total, 4400 W surge peak",,,,"230 V~ 50 Hz, 10 A max., 2200 W nominal au total, 4400 W pointe de surtension",,,"230 V~ 50 Hz, 10 A máx., 2200 W Nominal en Total, 4400 W Pico de sobrecarga",,,"230 V~ 50 Hz, 10 A máx., 2200 W nominal",,,"230 V~ 50 Hz, 10 A max., 2200 W Nennleistung insgesamt, 4400 W Spitzenleistung",,,"230 V~ 50 Hz, 10 A max., 2200 W nominali totali, 4400 W di picco",,,"230 В~ 50 Гц, 10 А макс., номінальна потужність 2200 Вт загалом, пікова потужність 4400 Вт",,,
JE-2000F_EU__v1.0__Product_overview__s03__r05__total_output__front.label__l01,JE-2000F_EU,JE-2000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.label,Total Output,,1,,,Total Output,,,,Sortie totale,,,Salida Total,,,Saída Total,,,Gesamtausgang,,,Uscita totale,,,Загальна вихідна потужність,,,
