spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-3600A_EU__2026-05-25__specifications__s03__r04__usb_c__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,4,usb_c,,2 × USB-C 100W Output,,1,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s03__r05__usb_a__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,5,usb_a,,2 × USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s03__r06__dc_expansion_port__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,OUTPUT PORTS,3,6,dc_expansion_port,,1 × DC Expansion Port,,1,,,36.4-50.4 V⎓60 A max.,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s04__r01__charging_temperature__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,charging_temperature,,Charge Temperature,,1,,,-20 °C to 45 °C,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__specifications__s04__r02__discharging_temperature__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,specifications,ENVIRONMENTAL OPERATING TEMPERATURE,4,2,discharging_temperature,,Discharge Temperature,,1,,,-20 °C to 45 °C,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__storage__s04__r01__storage_temperature__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,1,1 month,,-20 °C to 45 °C (0-60% RH),,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__storage__s04__r01__storage_temperature__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,2,3 months,,0 °C to 45 °C (0-60% RH),,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__storage__s04__r01__storage_temperature__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,storage,ENVIRONMENTAL OPERATING TEMPERATURE,4,1,storage_temperature,,Storage Temperature,,3,12 months,,0 °C to 25 °C (0-60% RH),,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__ups_mode__s03__r01__ups_bypass_output__text__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,ups_mode,OUTPUT PORTS,3,1,ups_bypass_output,text,UPS Bypass Output,,1,,,10 A,,,,,,,,,,,,,,,,,,,,,,
JE-3600A_EU__2026-05-25__ups_mode__s03__r02__ups_transfer_time__value__l01,JE-3600A_EU,JE-3600A,EU,en,2026-05-25,TRUE,ups_mode,OUTPUT PORTS,3,2,ups_transfer_time,value,UPS Transfer Time,,1,,,10 ms,,,,,,,,,,,,,,,,,,,,,,
