tracked_root,model,region,artifact,section,page_key,file_name,relative_path,section_title,field_key,change_type,old_value,new_value,source_section_key,source_row_key,source_line_order,source_csv_line,from_ref,to_ref
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/no_wet_hands.png :alt: No wet hands icon. :width: 40px / 濡れた手で本体や接続するケーブルを触らない 火災や感電の原因になります。 / .. image:: _static/manual_assets/hte153_jp/symbols/grounding.png :alt: Grounding icon. :width: 40px,A,,接地接続は必ず、電源プラグを電源につなぐ前に行って下さい また、接地接続を外す場合は、必ず電源プラグを切り離してから行って下さい。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/prohibited.png :alt: Do not use incompatible voltage icon. :width: 40px,A,,表示された電源電圧以外で使用しない 故障、発熱、火災・感電の原因になります。また、本製品を使用できるのは日本国内のみです。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/unplug.png :alt: Unplug icon. :width: 40px / 万が一、次のような異常が発生したときはすぐに使用をやめる / 煙が出ている、異臭がする / 内部に水や異物が入ったとき / 落としたり、破損したとき / 電源コード (AC充電ケーブル) が傷んだとき,A,,異音がする このような異常が発生したまま使用していると、火災や感電の原因になります。 すぐにAC充電ケーブルをコンセントから抜いてください。また、本製品に接続されている機器もすべて外してください。 万が一発煙や発火したら、大量の水で消火して煙が見えなくなるまで本製品を水浸しにしてください。 煙が出なくなることを確認してからカスタマーサポートにご連絡ください。 お客様による修理は危険ですので絶対におやめください。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Warning icon. :width: 40px / 強い衝撃を与えたり、投げつけたりしない 発熱や発火、破裂する原因になります。 / .. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Warning icon. :width: 40px,A,,雷が鳴りだしたら、電源プラグにふれない（充電をしない） 感電の原因になります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Warning icon. :width: 40px / 水など、液体を入れたり、濡らしたりしない 発熱や発火の原因になります。 / .. image:: _static/manual_assets/hte153_jp/symbols/mandatory.png :alt: Mandatory symbol. :width: 40px,A,,各接続端子には確実に差し込む 差し込みが不十分だと、発熱したりほこりが付着して火災や感電の原因になります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,01_meaning_of_symbols,01_meaning_of_symbols.rst,page/01_meaning_of_symbols.rst,・警告,.. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Warning icon. :width: 40px / 火のそばや炎天下の車内、熱器具の周辺など高温（45℃以上）になる場所で使用したり、放置しない 発熱や発火、破裂する原因になります。 / .. image:: _static/manual_assets/hte153_jp/symbols/warning_triangle.png :alt: Warning icon. :width: 40px,A,,端子部にケーブル以外の金属類を差し込まない 発熱や発火の原因になります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,02_whats_in_the_box,02_whats_in_the_box.rst,page/02_whats_in_the_box.rst,同梱品,本体 / AC 充電ケーブル,A,,取扱説明書一式,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,右側面,AC入力,A,,100V-120V~50/60Hz、15A 最大、急速充電 約1450W,TEMPLATE VARS,tpl_side_ac_input_spec; tpl_side_ac_input_label,1,388; 387,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,右側面,DC入力（DC8020ポート×2）,A,,PV: 16-60V/12A、2ポート合計最大21A/400W 車載充電: 11-16V/8A、2ポート合計最大8A,TEMPLATE VARS,tpl_side_dc_input_pv_spec; tpl_side_dc_input_car_spec; tpl_side_dc_input_label,1,385; 386; 384,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,12Vシガーソケット出力 12V/10A 最大,A,,LCDディスプレイ,TEMPLATE VARS,tpl_front_dc12_port_label; tpl_front_dc12_port_spec,1,374; 375,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,DC/USB出力ボタン,A,,LEDライトボタン,TEMPLATE VARS,tpl_dc_usb_power_button_label,1,372,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,USB-A 18W出力 5-6V/3A、6-9V/2A、9-12V/1.5A、最大18W,A,,AC出力 100V~50/60Hz、15A、定格1500W、瞬間最大3000W,TEMPLATE VARS,tpl_front_ac_output_spec; tpl_front_usb_a_spec; tpl_front_usb_a_label; tpl_ups_bypass_output_text; tpl_front_ac_output_label,1,383; 381; 380; 396; 382,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,USB-C 100W出力 5V/3A、9V/3A、12V/3A、15V/3A、20V/5A、最大100W,A,,AC出力ボタン,TEMPLATE VARS,tpl_front_usb_c_high_spec; tpl_front_usb_c_high_label; tpl_usb_c_high_power_port_label; tpl_ac_power_button_label; tpl_front_ac_output_label,1,379; 378; 393; 373; 382,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,USB-C 30W出力 5V/3A、9V/3A、12V/2.5A、15V/2A、20V/1.5A、最大30W,A,,LEDライト,TEMPLATE VARS,tpl_front_usb_c_low_spec; tpl_front_usb_c_low_label,1,377; 376,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,03_product_overview_placeholder,03_product_overview_placeholder.rst,page/03_product_overview_placeholder.rst,正面,メイン電源ボタン,A,,持ち手,TEMPLATE VARS,tpl_main_power_button_label,1,371,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,1 / Wi-Fi,A,,オン：Wi-Fi接続済。 点滅：Wi-Fiに接続する準備ができました。 オフ：Wi-Fi接続解除済。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,10 / 充電残り時間,A,,充電残り時間を表示します。,,,,,HEAD~1,HEAD
