"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"US","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2 × USB-C","","1","","","30W Max, 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A","","2 × Sortie USB-C","","30W max., 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A","2 × Salidas USB-C","JE-1000F","","30W máx., 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A","en"
"US","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2 × USB-C","","2","","","100W Max, 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A (14°F to 113°F / -10°C to 45°C)","","2 × Sortie USB-C","","100W max., 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A (14°F à 113°F / -10°C à 45°C)","2 × Salidas USB-C","JE-1000F","","100W máx., 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A (14°F a 113°F / -10°C a 45°C)","en"
"US","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2 × USB-C","","3","","","USB-C 100W output disabled (-4°F to 14°F / -20°C to -10°C)","","2 × Sortie USB-C","","Sortie USB-C 100W désactivée (-4°F à 14°F / -20°C à -10°C)","2 × Salidas USB-C","JE-1000F","","Salida USB-C 100W desactivada (-4°F a 14°F / -20°C a -10°C)","en"
"US","TRUE","specifications","OUTPUT PORTS","3","usb_a","","1 × USB-A","","1","","","18W Max, 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A","","1 × Sortie USB-A","","18W max., 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A","1 × Salida USB-A","JE-1000F","","18W máx., 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A","en"
"US","TRUE","specifications","OUTPUT PORTS","3","dc12_port","","1 × DC 12V Port","","1","","","12V⎓10A Max","","1 × Port CC 12V","","12V⎓10A max.","1 × Puerto DC 12V","JE-1000F","","12V⎓10A máx.","en"
"US","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","charging_temperature","","Charging Temperature","","1","","","-4°F to 113°F / -20°C to 45°C","","Température de charge","","-4°F à 113°F / -20°C à 45°C","Temperatura de carga","JE-1000F","","-4°F a 113°F / -20°C a 45°C","en"
"US","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","discharging_temperature","","Discharging Temperature","","1","","","-4°F to 113°F / -20°C to 45°C","","Température de décharge","","-4°F à 113°F / -20°C à 45°C","Temperatura de descarga","JE-1000F","","-4°F a 113°F / -20°C a 45°C","en"
"US","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","Storage Temperature","","1","1 month","","-4°F to 113°F / -20°C to 45°C (0-60%RH)","","Température de stockage","1 mois","-4°F à 113°F / -20°C à 45°C (0-60% HR)","","JE-1000F","1 mes","-4°F a 113°F / -20°C a 45°C (0-60% HR)","en"
"US","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","Storage Temperature","","2","3 months","","32°F to 113°F / 0°C to 45°C (0-60%RH)","","Température de stockage","3 mois","32°F à 113°F / 0°C à 45°C (0-60% HR)","","JE-1000F","3 meses","32°F a 113°F / 0°C a 45°C (0-60% HR)","en"
"US","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","Storage Temperature","","3","12 months","","32°F to 77°F / 0°C to 25°C (0-60%RH)","","Température de stockage","12 mois","32°F à 77°F / 0°C à 25°C (0-60% HR)","","JE-1000F","12 meses","32°F a 77°F / 0°C a 25°C (0-60% HR)","en"
